tech_company,benefits,workplace_resources,mh_employer_discussion,mh_coworker_discussion,medical_coverage,mental_health,mh_share,age,gender,country,avg_health_exp_country,health_exp_category_country,avg_hdi_country,hdi_category_country,avg_hours_worked,life_satisfaction_score_country,happiness_ci_upper_country,happiness_ci_lower_country,gdp_log_country,social_support_country,healthy_life_expectancy_country,freedom_life_choices_country,generosity_country,corruption_perception_country,residual_happiness_country,happiness_rank_country
No,Yes,I don't know,No,No,Yes,Possibly,8,40,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,Yes,I don't know,No,No,Yes,Possibly,6,42,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,I don't know,No,No,Yes,Possibly,9,38,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,I don't know,No,Yes,No,Yes,No,9,39,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,No,I don't know,No,Yes,Yes,Yes,3,21,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,Yes,Yes,Yes,Yes,Possibly,10,32,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,No,No,Yes,Yes,Yes,Possibly,9,32,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,40,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,No,No,Yes,Possibly,7,28,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,25,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,Yes,No,No,Yes,No,5,37,Male,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,40,Other,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,Yes,Yes,Yes,Yes,10,26,Other,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,Yes,I don't know,No,No,Yes,Yes,8,27,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
Yes,Yes,No,No,Yes,Yes,Yes,10,22,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
No,Yes,I don't know,No,Yes,Yes,Possibly,10,28,Female,United States of America,17.23634796,Alto,0.9269999999999999,Muy alto,1813.0,6.929119998168946,7.04811319096883,6.8636201362609865,1.6296622800827034,1.20559556865692,0.6935393369992573,0.554202748298645,0.2567143530050913,0.16109491380055732,2.4550415980021167,18
